"code","name","coordinates__latitude","coordinates__longitude","address"
"NEW","Newell Hall","29.6490871","-82.34505709999999","Newell Hall, Gainesville, FL 32603, USA"
"NPB","Physics Building","29.6437825","-82.3496895","2001 Museum Rd, Gainesville, FL 32603, United States"
"NRB","Nuclear Reactor","29.6436325","-82.3549302","Gainesville, FL 32611, United States"
"NRG","Norman Gymnasium","35.220559","-97.4448615","119 W Main St, Norman, OK 73069, United States"
"NRN","Norman Hall","29.6469686","-82.3381103","Norman Hall, Gainesville, FL 32601, USA"
"NRNA","Norman Hall Addition","29.64664469999999","-82.33768599999999","Norman Hall Addition, Gainesville, FL 32601, USA"
"NSC","Nuclear Sciences Center","30.5810924","-96.3629133","1095 Nuclear Science Rd, College Station, TX 77843, United States"
"NUL","Animal Nutrition Labratory","40.10381579999999","-88.22516139999999","1207 W Gregory Dr, Urbana, IL 61801, United States"
"NZH","Newins-Ziegler Hall","29.64539199999999","-82.345686","Newins-Ziegler Hall, Gainesville, FL 32603, USA"
"ODAA","Office of Development and Alumni Affairs","29.6398626","-82.343434","1600 SW Archer Rd, Gainesville, FL 32610, United States"
"OBS","Student Observatory","37.4191274","-122.181827","30 Alta Rd, Palo Alto, CA 94305, United States"
"PCPA","Phillips Center for the Performing Arts","29.6352583","-82.36930579999999","3201 Hull Rd, Gainesville, FL 32611, United States"
"PEA","Peabody Hall","29.6500771","-82.3419924","Union Rd, Gainesville, FL 32603, United States"
"PHL","Phelps Laboratory","41.1091195","-73.8639555","701 N Broadway, Sleepy Hollow, NY 10591, United States"
"PKY","P. K. Yonge Developmental Research School, 1080 SW 11 Street","29.64006539999999","-82.3346766","1080 SW 11th St, Gainesville, FL 32601, United States"
"POOL","Florida Pool","29.6462255","-82.3409362","Gainesville, FL 32603, United States"
"POW","Powell Hall - New Museum of Natural History","29.6358224","-82.3704006","3215 Hull Rd, Gainesville, FL 32611, United States"
"PPD","Physical Plant Offices","29.6443197","-82.3705092","Physical Plant Offices, Gainesville, FL 32607, USA"
"PRL","Food and Environmental Toxicology Lab","29.6436325","-82.3549302","Gainesville, FL 32611, United States"
"PSB","Shands Patient Services","29.6388866","-82.3423068","1515 SW Archer Rd, Gainesville, FL 32608, United States"
"PSF","Plant Science Facility","29.6436325","-82.3549302","Gainesville, FL 32611, United States"
"PST","Particle Sciences and Technology","40.671417","-75.37462699999999","3894 Courtney St, Bethlehem, PA 18017, United States"
"PSY","Psychology","29.67284690000001","-82.38416389999999","2121 NW 40th Terrace Ste B, Gainesville, FL 32605, United States"
"PUGH","Pugh Hall","29.6494289","-82.34546309999999","Pugh Hall, Gainesville, FL 32603, USA"
"RCD","Recreation Center Dining","29.650204","-82.3464309","114 Rec Center, Gainesville, FL 32611, United States"
"REI","Reitz Union","29.6463395","-82.3476523","686 Museum Rd, Gainesville, FL 32611, United States"
"RFC","Recreation and Fitness Center","29.6501107","-82.34675969999999","244 Fletcher Dr, Gainesville, FL 32603, United States"
"RHN","Rhines Hall","29.6476341","-82.34902249999999","Rhines Hall, Gainesville, FL 32603, USA"
"RLA","Reed Lab","42.31957420000001","-71.0979212","55 Dimock St, Boston, MA 02119, United States"
"RL1","Research Laboratory","29.634407","-82.371461","1911 SW 34th St, Gainesville, FL 32608, United States"
"RNK","Rinker Hall","29.64695920000001","-82.34316059999999","Rinker Hall, 573 Newell Dr, Gainesville, FL 32603, USA"
"ROG","Rogers Hall","29.6449409","-82.3449972","United States"
"ROL","Rolfs Hall","29.6492897","-82.3444921","Rolfs Hall, Gainesville, FL 32603, USA"
"SBH","Steinbrenner Band Hall","29.6436325","-82.3549302","Gainesville, FL 32611, United States"
"SIS","Sisler Hall - Chemistry Research Bldg","29.6499992","-82.34416809999999","1680 Union Rd, Gainesville, FL 32611, United States"
"SMA","Library East, Smathers","29.6515513","-82.34281469999999","1545 W University Ave, University of Florida, Gainesville, FL 32611, United States"
